puuid,tier,rank_name,kills,deaths,assists,score,hit_accuracy,time_on_target,aim_deviation,reaction_time,shots_fired,shots_hit,wallbang,kill_distance,is_cheating,kda,kd_ratio,score_per_kill,sub_100ms_reaction,sub_50ms_reaction,precision_score,tier_relative_kills,tier_relative_deaths,tier_relative_score,kills_z,deaths_z,score_z
player_14288,21,ascendant,24,9,4,3337,1.0,339.7,2.009,412.6,2,2,0,50.52623081133189,0,3.111111111111111,2.6666666666666665,139.04166666666666,0,0,0.4977600796416128,4,2,537,1.0,0.6666666666666666,1.3425
player_88116,3,iron,4,4,9,2690,1.0,37.6,1.664,285.1,1,1,0,52.41717275855301,1,3.25,1.0,672.5,0,0,0.6009615384615384,-4,-11,1790,-1.0,-3.6666666666666665,8.95
player_90623,24,immortal,29,6,12,5093,0.5,78.8,1.788,251.3,2,1,0,608.3067071798566,1,6.833333333333333,4.833333333333333,175.6206896551724,0,0,0.2796420581655481,7,0,1893,1.75,0.0,4.7325
player_22999,13,platinum,21,9,4,2237,0.6666666666666666,175.9,2.473,304.1,6,4,0,474.29349563324155,0,2.7777777777777777,2.3333333333333335,106.52380952380952,0,0,0.2695781102574471,5,0,137,1.25,0.0,0.3914285714285714
player_53207,14,platinum,28,1,8,2946,0.6666666666666666,25.0,1.416,113.6,3,2,0,556.2781049079679,1,36.0,28.0,105.21428571428571,0,0,0.4708097928436911,12,-8,846,3.0,-2.6666666666666665,2.4171428571428573
player_89822,26,radiant,47,0,16,5693,0.5,57.7,1.14,143.1,2,1,0,215.16528530411256,1,63.0,47.0,121.12765957446808,0,0,0.4385964912280702,22,-4,2093,5.5,-2.0,4.651111111111111
player_90981,12,gold,33,3,12,2945,1.0,45.1,2.619,122.9,2,2,0,308.3984597886312,1,15.0,11.0,89.24242424242425,0,0,0.3818251240931653,19,-7,1145,4.75,-2.3333333333333335,3.816666666666667
player_75193,1,iron,15,4,6,1660,1.0,75.8,2.409,130.5,1,1,0,573.4613587679647,1,5.25,3.75,110.66666666666667,0,0,0.41511000415110005,7,-11,760,1.75,-3.6666666666666665,3.8
player_70305,4,bronze,1,17,7,1635,0.2222222222222222,255.8,2.168,438.5,9,2,0,958.2325657166946,0,0.47058823529411764,0.058823529411764705,1635.0,0,0,0.10250102501025009,-9,4,535,-2.25,1.3333333333333333,2.14
player_92306,4,bronze,7,2,7,1570,1.0,58.5,1.059,125.6,1,1,0,56.17775360407356,1,7.0,3.5,224.28571428571428,0,0,0.9442870632672333,-3,-11,470,-0.75,-3.6666666666666665,1.88
player_21835,15,platinum,20,10,6,2590,1.0,205.4,1.294,281.3,1,1,0,504.5338938069474,0,2.6,2.0,129.5,0,0,0.7727975270479134,4,1,490,1.0,0.3333333333333333,1.4
player_60779,15,platinum,11,8,4,2691,0.3,252.7,2.897,386.0,10,3,0,967.6686726354222,0,1.875,1.375,244.63636363636363,0,0,0.10355540214014498,-5,-1,591,-1.25,-0.3333333333333333,1.6885714285714286
player_99838,20,ascendant,30,1,16,6169,1.0,61.8,1.539,150.6,1,1,0,539.7314332147056,1,46.0,30.0,205.63333333333333,0,0,0.6497725795971411,10,-6,3369,2.5,-2.0,8.4225
player_91885,22,immortal,44,5,19,6800,1.0,40.5,0.575,167.9,1,1,0,367.8702216815055,1,12.6,8.8,154.54545454545453,0,0,1.7391304347826089,22,-1,3600,5.5,-0.3333333333333333,9.0
player_36174,25,radiant,24,6,5,3399,0.375,320.9,2.008,578.6,8,3,0,884.6612967684298,0,4.833333333333333,4.0,141.625,0,0,0.18675298804780877,-1,2,-201,-0.25,1.0,-0.44666666666666666
player_95191,13,platinum,38,3,22,4264,1.0,38.1,1.823,152.0,1,1,0,527.7848046315846,1,20.0,12.666666666666666,112.21052631578948,0,0,0.5485463521667581,22,-6,2164,5.5,-2.0,6.182857142857143
player_75513,10,gold,17,1,15,3226,0.6666666666666666,41.2,2.525,222.1,3,2,0,786.3624863890697,1,32.0,17.0,189.76470588235293,0,0,0.264026402640264,3,-9,1426,0.75,-3.0,4.753333333333333
player_56805,16,diamond,22,9,6,2915,1.0,299.3,1.4,507.2,8,8,0,457.6868470908903,0,3.111111111111111,2.4444444444444446,132.5,0,0,0.7142857142857143,4,1,415,1.0,0.3333333333333333,1.1857142857142857
player_94790,2,iron,4,9,6,1593,1.0,21.3,2.073,156.1,2,2,0,797.2653510594824,1,1.1111111111111112,0.4444444444444444,398.25,0,0,0.482392667631452,-4,-6,693,-1.0,-2.0,3.465
player_23447,3,iron,0,19,5,1051,1.0,215.8,1.306,433.6,1,1,0,160.00003124999694,0,0.2631578947368421,0.0,1051.0,0,0,0.7656967840735068,-8,4,151,-2.0,1.3333333333333333,0.755
player_84349,2,iron,10,17,3,750,0.5,254.5,2.32,488.5,2,1,0,261.79948433868236,0,0.7647058823529411,0.5882352941176471,75.0,0,0,0.21551724137931036,2,2,-150,0.5,0.6666666666666666,-0.75
player_68341,20,ascendant,31,4,16,4234,0.6666666666666666,70.3,0.938,318.7,3,2,0,138.83695473468123,1,11.75,7.75,136.58064516129033,0,0,0.7107320540156361,11,-3,1434,2.75,-1.0,3.585
player_21300,18,diamond,14,7,9,2480,0.6666666666666666,225.2,1.203,307.3,9,6,0,767.7437723615868,0,3.2857142857142856,2.0,177.14285714285714,0,0,0.5541701302299805,-4,-1,-20,-1.0,-0.3333333333333333,-0.05714285714285714
player_78012,27,radiant,43,3,15,5116,0.6666666666666666,27.8,1.793,120.6,3,2,0,920.9966829473383,1,19.333333333333332,14.333333333333334,118.97674418604652,0,0,0.3718163227365681,18,-1,1516,4.5,-0.5,3.368888888888889
player_13969,2,iron,17,10,3,1758,1.0,37.7,2.06,197.6,1,1,0,312.63179620761537,1,2.0,1.7,103.41176470588235,0,0,0.4854368932038835,9,-5,858,2.25,-1.6666666666666667,4.29
player_71141,13,platinum,19,11,5,1984,0.5,396.9,1.348,571.5,4,2,0,23.139792566053828,0,2.1818181818181817,1.7272727272727273,104.42105263157895,0,0,0.37091988130563797,3,2,-116,0.75,0.6666666666666666,-0.3314285714285714
player_95755,8,silver,13,15,8,1509,0.75,195.7,2.332,384.0,4,3,0,279.7464030153024,0,1.4,0.8666666666666667,116.07692307692308,0,0,0.3216123499142367,1,3,109,0.25,1.0,0.36333333333333334
player_36090,5,bronze,25,3,18,2150,1.0,65.1,2.992,347.9,1,1,0,842.6579851873474,1,14.333333333333334,8.333333333333334,86.0,0,0,0.3342245989304813,15,-10,1050,3.75,-3.3333333333333335,4.2
player_24366,23,immortal,18,5,11,3237,1.0,261.1,0.888,468.3,3,3,0,680.7604938596246,0,5.8,3.6,179.83333333333334,0,0,1.1261261261261262,-4,-1,37,-1.0,-0.3333333333333333,0.0925
player_71814,7,silver,24,8,5,2540,1.0,35.2,2.198,221.8,3,3,0,803.7007403256512,1,3.625,3.0,105.83333333333333,0,0,0.45495905368516837,12,-4,1140,3.0,-1.3333333333333333,3.8
player_74094,8,silver,39,2,11,1612,0.5,55.9,1.373,178.5,2,1,0,442.3583728155263,1,25.0,19.5,41.333333333333336,0,0,0.3641660597232338,27,-10,212,6.75,-3.3333333333333335,0.7066666666666667
player_41363,7,silver,20,4,18,3703,1.0,38.1,1.485,329.3,1,1,0,880.6089086535521,1,9.5,5.0,185.15,0,0,0.6734006734006733,8,-8,2303,2.0,-2.6666666666666665,7.676666666666667
player_80143,25,radiant,45,0,28,8888,0.5,53.0,2.872,105.3,2,1,0,284.51801348948015,1,73.0,45.0,197.51111111111112,0,0,0.17409470752089137,20,-4,5288,5.0,-2.0,11.751111111111111
player_31298,5,bronze,13,10,5,1214,1.0,324.8,1.054,542.1,2,2,0,248.06952654447494,0,1.8,1.3,93.38461538461539,0,0,0.9487666034155597,3,-3,114,0.75,-1.0,0.456
player_44282,25,radiant,25,6,8,3309,0.8333333333333334,157.6,0.527,262.8,6,5,0,988.8004095872938,0,5.5,4.166666666666667,132.36,0,0,1.5812776723592663,0,2,-291,0.0,1.0,-0.6466666666666666
player_88094,25,radiant,19,3,10,3933,0.8333333333333334,239.1,1.624,399.5,6,5,0,898.9103904171984,0,9.666666666666666,6.333333333333333,207.0,0,0,0.513136288998358,-6,-1,333,-1.5,-0.5,0.74
player_50392,5,bronze,6,13,7,1199,0.125,307.7,1.694,429.5,8,1,0,729.348483236923,0,1.0,0.46153846153846156,199.83333333333334,0,0,0.07378984651711924,-4,0,99,-1.0,0.0,0.396
player_96742,15,platinum,22,4,5,2473,0.7777777777777778,368.4,1.695,551.4,9,7,0,275.6116833517768,0,6.75,5.5,112.4090909090909,0,0,0.4588659455916093,6,-5,373,1.5,-1.6666666666666667,1.0657142857142856
player_23224,2,iron,19,0,11,1961,1.0,41.4,2.288,217.3,1,1,0,318.9533508210881,1,30.0,19.0,103.21052631578948,0,0,0.4370629370629371,11,-15,1061,2.75,-5.0,5.305
player_49387,8,silver,11,14,5,1221,0.6666666666666666,391.4,1.425,615.5,9,6,0,537.9528325048582,0,1.1428571428571428,0.7857142857142857,111.0,0,0,0.4678362573099415,-1,2,-179,-0.25,0.6666666666666666,-0.5966666666666667
player_64592,23,immortal,25,9,11,3346,0.1,266.1,2.841,534.5,10,1,0,558.8618791794623,0,4.0,2.7777777777777777,133.84,0,0,0.03519887363604365,3,3,146,0.75,1.0,0.365
player_72773,1,iron,9,17,4,569,1.0,252.9,2.417,327.5,8,8,0,787.1277469381955,0,0.7647058823529411,0.5294117647058824,63.22222222222222,0,0,0.4137360364087712,1,2,-331,0.25,0.6666666666666666,-1.655
player_48691,19,ascendant,55,4,11,5431,1.0,38.3,3.098,203.5,3,3,0,546.5283615696442,1,16.5,13.75,98.74545454545455,0,0,0.32278889606197547,35,-3,2631,8.75,-1.0,6.5775
player_92667,17,diamond,36,3,12,3269,1.0,38.1,1.695,91.0,3,3,0,17.16857594560482,1,16.0,12.0,90.80555555555556,1,0,0.5899705014749262,18,-5,769,4.5,-1.6666666666666667,2.197142857142857
player_41584,26,radiant,27,4,12,3330,0.5,337.1,1.769,410.5,2,1,0,9.49210198006739,0,9.75,6.75,123.33333333333333,0,0,0.2826455624646693,2,0,-270,0.5,0.0,-0.6
player_79226,21,ascendant,21,3,9,2661,1.0,347.0,3.032,543.7,1,1,0,76.98084177248246,0,10.0,7.0,126.71428571428571,0,0,0.32981530343007914,1,-4,-139,0.25,-1.3333333333333333,-0.3475
player_20279,22,immortal,25,4,9,2980,1.0,186.9,0.886,293.9,8,8,0,585.9159325364006,0,8.5,6.25,119.2,0,0,1.1286681715575622,3,-2,-220,0.75,-0.6666666666666666,-0.55
player_93086,26,radiant,25,5,10,4037,1.0,352.5,2.188,530.6,9,9,0,596.8912128688112,0,7.0,5.0,161.48,0,0,0.45703839122486284,0,1,437,0.0,0.5,0.9711111111111111
player_78302,10,gold,24,2,14,3277,0.5,20.8,2.092,161.1,2,1,0,616.7154449176703,1,19.0,12.0,136.54166666666666,0,0,0.2390057361376673,10,-8,1477,2.5,-2.6666666666666665,4.923333333333333
player_53193,1,iron,11,14,1,652,0.5,198.9,3.464,432.6,6,3,0,325.8488760146332,0,0.8571428571428571,0.7857142857142857,59.27272727272727,0,0,0.14434180138568128,3,-1,-248,0.75,-0.3333333333333333,-1.24
player_82102,4,bronze,12,12,6,1097,0.4,323.6,2.256,552.4,5,2,0,479.2186974649467,0,1.5,1.0,91.41666666666667,0,0,0.17730496453900713,2,-1,-3,0.5,-0.3333333333333333,-0.012
player_87833,18,diamond,28,10,7,1889,0.14285714285714285,350.3,1.67,402.9,7,1,0,580.5435470315729,0,3.5,2.8,67.46428571428571,0,0,0.0855431993156544,10,2,-611,2.5,0.6666666666666666,-1.7457142857142858
player_13219,13,platinum,10,10,7,1914,0.6666666666666666,300.7,0.97,375.1,6,4,0,44.716104481495194,0,1.7,1.0,191.4,0,0,0.6872852233676976,-6,1,-186,-1.5,0.3333333333333333,-0.5314285714285715
player_77632,21,ascendant,26,10,11,2520,1.0,176.3,2.498,374.4,4,4,0,752.3376502608387,0,3.7,2.6,96.92307692307692,0,0,0.4003202562049639,6,3,-280,1.5,1.0,-0.7
player_79168,26,radiant,50,3,21,9876,0.5,52.2,0.791,270.2,2,1,0,373.3350907696732,1,23.666666666666668,16.666666666666668,197.52,0,0,0.6321112515802781,25,-1,6276,6.25,-0.5,13.946666666666667
player_94575,20,ascendant,23,9,9,3323,1.0,376.2,2.773,589.4,9,9,0,443.8468204234429,0,3.5555555555555554,2.5555555555555554,144.47826086956522,0,0,0.36062026685899745,3,2,523,0.75,0.6666666666666666,1.3075
player_74921,26,radiant,51,4,23,8506,1.0,10.0,1.191,134.4,1,1,0,816.6981143605022,1,18.5,12.75,166.7843137254902,0,0,0.8396305625524769,26,0,4906,6.5,0.0,10.902222222222223
player_28249,7,silver,18,10,11,2720,1.0,26.1,2.777,314.2,2,2,0,135.6147484604824,1,2.9,1.8,151.11111111111111,0,0,0.3601008282319049,6,-2,1320,1.5,-0.6666666666666666,4.4
player_98635,9,silver,31,2,11,1872,1.0,12.7,2.468,176.4,3,3,0,847.1674804901331,1,21.0,15.5,60.38709677419355,0,0,0.4051863857374392,19,-10,472,4.75,-3.3333333333333335,1.5733333333333333
player_74843,3,iron,9,12,8,826,0.125,387.6,2.08,468.6,8,1,0,958.0087734462561,0,1.4166666666666667,0.75,91.77777777777777,0,0,0.06009615384615384,1,-3,-74,0.25,-1.0,-0.37
player_97098,21,ascendant,37,3,13,5098,0.5,39.7,1.769,122.9,2,1,0,695.5858825479426,1,16.666666666666668,12.333333333333334,137.78378378378378,0,0,0.2826455624646693,17,-4,2298,4.25,-1.3333333333333333,5.745
player_27973,16,diamond,28,2,10,4928,0.5,30.8,1.532,237.8,2,1,0,859.9828195958336,1,19.0,14.0,176.0,0,0,0.3263707571801567,10,-6,2428,2.5,-2.0,6.937142857142857
player_94491,25,radiant,36,4,17,5230,1.0,47.6,2.719,171.4,1,1,0,494.92019558712695,1,13.25,9.0,145.27777777777777,0,0,0.3677822728944465,11,0,1630,2.75,0.0,3.6222222222222222
player_65163,17,diamond,35,4,11,6493,1.0,53.9,1.842,230.5,1,1,0,701.7665993761743,1,11.5,8.75,185.5142857142857,0,0,0.5428881650380022,17,-4,3993,4.25,-1.3333333333333333,11.40857142857143
player_86865,9,silver,34,0,11,2540,1.0,60.5,2.442,277.1,1,1,0,137.23356003543736,1,45.0,34.0,74.70588235294117,0,0,0.40950040950040945,22,-12,1140,5.5,-4.0,3.8
player_45227,17,diamond,11,7,8,2837,1.0,184.4,1.82,449.2,1,1,0,894.2876774282421,0,2.7142857142857144,1.5714285714285714,257.90909090909093,0,0,0.5494505494505494,-7,-1,337,-1.75,-0.3333333333333333,0.9628571428571429
player_29671,24,immortal,46,0,13,6235,0.5,12.4,2.361,205.3,2,1,0,223.20273295817898,1,59.0,46.0,135.54347826086956,0,0,0.21177467174925876,24,-6,3035,6.0,-2.0,7.5875
player_21322,3,iron,14,11,4,729,0.5,268.9,0.925,320.5,4,2,0,839.534168452958,0,1.6363636363636365,1.2727272727272727,52.07142857142857,0,0,0.5405405405405405,6,-4,-171,1.5,-1.3333333333333333,-0.855
player_74491,25,radiant,50,1,17,7168,0.6666666666666666,34.1,1.156,229.3,3,2,0,591.9024666277376,1,67.0,50.0,143.36,0,0,0.5767012687427913,25,-3,3568,6.25,-1.5,7.928888888888889
player_69343,8,silver,27,5,12,2024,0.5,51.5,2.473,235.5,2,1,0,264.97692352354017,1,7.8,5.4,74.96296296296296,0,0,0.20218358269308534,15,-7,624,3.75,-2.3333333333333335,2.08
player_29441,27,radiant,23,1,11,4466,0.4444444444444444,342.3,1.094,416.0,9,4,0,61.675927232592,0,34.0,23.0,194.17391304347825,0,0,0.4062563477554336,-2,-3,866,-0.5,-1.5,1.9244444444444444
player_19828,7,silver,17,2,10,2775,1.0,61.4,2.006,316.9,1,1,0,172.79178221200235,1,13.5,8.5,163.23529411764707,0,0,0.49850448654037893,5,-10,1375,1.25,-3.3333333333333335,4.583333333333333
player_94840,9,silver,10,13,4,1127,1.0,181.9,0.877,427.4,1,1,0,912.7231453184476,0,1.0769230769230769,0.7692307692307693,112.7,0,0,1.1402508551881414,-2,1,-273,-0.5,0.3333333333333333,-0.91
player_46822,6,bronze,15,14,9,1184,1.0,264.7,3.082,458.7,1,1,0,416.38017484025335,0,1.7142857142857142,1.0714285714285714,78.93333333333334,0,0,0.32446463335496434,5,1,84,1.25,0.3333333333333333,0.336
player_56095,26,radiant,25,2,7,3218,1.0,381.9,2.128,432.0,1,1,0,716.9361547585673,0,16.0,12.5,128.72,0,0,0.4699248120300752,0,-2,-382,0.0,-1.0,-0.8488888888888889
player_19506,1,iron,15,9,3,1406,1.0,37.6,1.054,249.9,3,3,0,928.8818331736281,1,2.0,1.6666666666666667,93.73333333333333,0,0,0.9487666034155597,7,-6,506,1.75,-2.0,2.53
player_61327,13,platinum,36,8,20,3195,0.6666666666666666,50.2,1.651,159.7,3,2,0,88.71944544461476,1,7.0,4.5,88.75,0,0,0.40379567938623057,20,-1,1095,5.0,-0.3333333333333333,3.1285714285714286
player_24160,15,platinum,19,9,6,1795,0.4,353.5,2.276,444.1,10,4,0,318.6924850070988,0,2.7777777777777777,2.111111111111111,94.47368421052632,0,0,0.17574692442882253,3,0,-305,0.75,0.0,-0.8714285714285714
player_22203,6,bronze,12,12,9,1371,1.0,347.7,2.007,572.0,4,4,0,281.4978507910851,0,1.75,1.0,114.25,0,0,0.4982561036372695,2,-1,271,0.5,-0.3333333333333333,1.084
player_21485,19,ascendant,16,6,8,2812,0.5714285714285714,318.2,1.3,490.4,7,4,0,184.85994698690135,0,4.0,2.6666666666666665,175.75,0,0,0.4395604395604395,-4,-1,12,-1.0,-0.3333333333333333,0.03
player_97486,15,platinum,24,10,9,3104,1.0,60.0,0.712,253.1,2,2,0,853.9300029861932,1,3.3,2.4,129.33333333333334,0,0,1.404494382022472,8,1,1004,2.0,0.3333333333333333,2.8685714285714288
player_15593,4,bronze,28,5,12,2844,1.0,26.3,2.822,173.3,1,1,0,458.19647532472356,1,8.0,5.6,101.57142857142857,0,0,0.3543586109142452,18,-8,1744,4.5,-2.6666666666666665,6.976
player_23133,4,bronze,8,14,2,879,0.6666666666666666,198.6,1.454,349.3,3,2,0,395.81299877593716,0,0.7142857142857143,0.5714285714285714,109.875,0,0,0.4585052728106373,-2,1,-221,-0.5,0.3333333333333333,-0.884
player_46745,2,iron,18,8,10,1562,0.6666666666666666,37.5,2.522,134.5,3,2,0,759.5295451791196,1,3.5,2.25,86.77777777777777,0,0,0.26434047052603754,10,-7,662,2.5,-2.3333333333333335,3.31
player_35265,3,iron,23,11,8,1516,0.5,24.9,2.376,245.2,2,1,0,960.5523463091431,1,2.8181818181818183,2.090909090909091,65.91304347826087,0,0,0.21043771043771045,15,-4,616,3.75,-1.3333333333333333,3.08
player_47364,12,gold,18,15,6,1342,1.0,224.3,1.116,502.2,1,1,0,252.3560183550216,0,1.6,1.2,74.55555555555556,0,0,0.8960573476702508,4,5,-458,1.0,1.6666666666666667,-1.5266666666666666
player_49602,14,platinum,22,5,6,2163,1.0,268.5,2.119,565.6,2,2,0,711.1458359577169,0,5.6,4.4,98.31818181818181,0,0,0.47192071731949026,6,-4,63,1.5,-1.3333333333333333,0.18
